t,bp_delta,bp_theta,bp_alpha,bp_beta,bp_gamma,psd_slope,lzc,pac_tg_mi,y_true,y_hat,err,sched
0,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.0,0.016777947062087954,-0.00851050742686953,0.025288454488957484,1.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0566416671474375,0.0,0.006698019612917999,-0.0035560955676841735,0.010254115180602173,0.9804226065180615
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0566416671474375,0.0,0.01774786349862014,-0.0029948706081536717,0.02074273410677381,0.9236067977499791
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0566416671474375,0.0,0.019210303932189757,-0.0019253760225459438,0.0211356799547357,0.8351141009169893
4,0.0,0.0,0.0,0.0,0.0,0.0,1.0566416671474375,0.0,0.01374658572337058,-0.0009400328535416245,0.014686618576912206,0.7236067977499789
5,0.0,0.0,0.0,0.0,0.0,0.0,1.0566416671474375,0.0,0.008379135990372944,-0.000346766220088788,0.008725902210461732,0.6000000000000001
6,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.0,-0.011738239015120304,-8.174148170777657e-05,-0.011656497533412528,0.4763932022500211
7,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.0,-0.021354329549337612,-0.0007792373178258743,-0.020575092231511737,0.36488589908301083
8,0.0,0.0,0.0,0.0,0.0,0.0,1.0566416671474375,0.0,-0.03623910652146059,-0.0011481512141836776,-0.03509095530727691,0.27639320225002106
9,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.0,-0.03542396522311253,-0.002534382485218804,-0.032889582737893726,0.2195773934819386
10,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.0,-0.05145380913884734,-0.0034414799988723406,-0.048012329139974996,0.2
11,0.0,0.0,0.0,0.0,0.0,0.0,1.0566416671474375,0.0,-0.0342190450931548,-0.003098400441150369,-0.031120644652004432,0.2195773934819385
12,0.0,0.0,0.0,0.0,0.0,0.0,1.0566416671474375,0.0,-0.028692107563773404,-0.003479871574252461,-0.025212235989520944,0.27639320225002106
13,0.0,0.0,0.0,0.0,0.0,0.0,1.0566416671474375,0.0,-0.024424699624853042,-0.0038688846419648692,-0.020555814982888172,0.3648858990830107
14,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.0,-0.02911529700845098,-0.006431397627081972,-0.02268389938136901,0.476393202250021
15,0.0,0.0,0.0,0.0,0.0,0.0,1.0566416671474375,0.0,-0.0350471312859363,-0.005192497184891161,-0.029854634101045135,0.5999999999999999
16,0.0,0.0,0.0,0.0,0.0,0.0,1.0566416671474375,0.0,-0.03032126303857228,-0.006192470642159167,-0.02412879239641311,0.7236067977499789
17,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.0,-0.042334342493035866,-0.010750731482523942,-0.03158361101051192,0.8351141009169891
18,0.0,0.0,0.0,0.0,0.0,0.0,1.0566416671474375,0.0,-0.03610393556608458,-0.009375791240036742,-0.026728144326047837,0.9236067977499791
19,0.0,0.0,0.0,0.0,0.0,0.0,1.0566416671474375,0.0,-0.0409114077299003,-0.010753893350052947,-0.03015751437984735,0.9804226065180615
20,0.0,0.0,0.0,0.0,0.0,0.0,1.0566416671474375,0.0,-0.024050208812316856,-0.012404464802516038,-0.011645744009800818,0.31715728752538097
21,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.0,-0.04108334793781104,-0.018915982064912972,-0.02216736587289807,0.37777190679215916
22,0.0,0.0,0.0,0.0,0.0,0.0,1.0566416671474375,0.0,-0.03870812295889115,-0.013311884690827128,-0.025396238268064024,0.4469266270539639
23,0.0,0.0,0.0,0.0,0.0,0.0,1.0566416671474375,0.0,-0.05283723190281695,-0.013945507922417156,-0.03889172398039979,0.5219638711935486
24,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.0,-0.08162503886928622,-0.022618126628077984,-0.05900691224120824,0.5999999999999999
25,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.0,-0.10730060699477671,-0.02706507540436835,-0.08023553159040836,0.6780361288064514
26,0.0,0.0,0.0,0.0,0.0,0.0,1.0566416671474375,0.0,-0.0965499052617987,-0.022598886197150864,-0.07395101906464784,0.7530733729460362
27,0.0,0.0,0.0,0.0,0.0,0.0,1.0566416671474375,0.0,-0.10336563603398193,-0.025707787425692713,-0.07765784860828921,0.8222280932078407
28,0.0,0.0,0.0,0.0,0.0,0.0,1.0566416671474375,0.0,-0.07479085247128156,-0.02927232449492678,-0.04551852797635478,0.882842712474619
29,0.0,0.0,0.0,0.0,0.0,0.0,1.0566416671474375,0.0,-0.07913634536445514,-0.031515674384495304,-0.04762067097995984,0.9325878449210181
